Route ID,Origin,Destination,Route_Summary,Route_Distance_km,Route_Type,Traffic,Weather,Cargo_Weight_kg,Fuel_Efficiency_kmpl,Adjusted_Efficiency,Fuel_Used_Litres,CO2_Emissions_kg
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Low,Clear,17619.74,4.24,4.24,73.57,197.18
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Low,Clear,15224.3,2.55,2.55,122.13,327.3
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Low,Clear,15637.58,3.0,3.0,103.91,278.49
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Low,Rainy,9175.74,4.48,3.81,81.88,219.44
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Low,Rainy,8957.47,2.97,2.52,123.49,330.95
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Low,Rainy,17961.83,4.13,3.51,88.85,238.11
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Low,Foggy,3027.32,4.07,3.46,90.19,241.72
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Low,Foggy,17133.07,3.45,2.93,106.31,284.91
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Low,Foggy,14901.61,3.65,3.11,100.36,268.97
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Low,Summer,16407.56,3.75,3.56,87.44,234.35
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Low,Summer,5988.66,2.9,2.75,113.2,303.38
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Low,Summer,17750.61,3.55,3.37,92.37,247.54
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Low,Storm,8121.43,2.94,2.5,124.86,334.62
