Route ID,Origin,Destination,Summary,Via
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Turn right after New Sarvottam Chawana &amp; Sweet Mart (on the right)<div style=""font-size:0.9em"">Pass by India Post Office (on the left)</div> → Continue onto Swami Vivekananda Pool → Continue onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by Rani Sipri Ki Masjid Astodia (on the left in 1.4 km)</div>"
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Turn right after New Sarvottam Chawana &amp; Sweet Mart (on the right)<div style=""font-size:0.9em"">Pass by India Post Office (on the left)</div> → Continue onto Swami Vivekananda Pool → Continue onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by Rani Sipri Ki Masjid Astodia (on the left in 1.4 km)</div>"
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Turn right after New Sarvottam Chawana &amp; Sweet Mart (on the right)<div style=""font-size:0.9em"">Pass by India Post Office (on the left)</div> → Continue onto Swami Vivekananda Pool → Continue onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by Rani Sipri Ki Masjid Astodia (on the left in 1.4 km)</div>"
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Rajkot-Route-2-GJ SH 17,Ahmedabad,Rajkot,GJ SH 17,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Bhavnagar-Route-1-NH 47,Ahmedabad,Bhavnagar,NH 47,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Bhavnagar-Route-2-NH 751,Ahmedabad,Bhavnagar,NH 751,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Continue onto Swami Vivekananda Rd → Continue onto Swami Vivekananda Pool → Turn right onto Gujari Rd"
Ahmedabad-Bhavnagar-Route-3-Ahmedabad - Dholera ,Ahmedabad,Bhavnagar,Ahmedabad - Dholera Expy and NH 751,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Continue onto Swami Vivekananda Rd → Continue onto Swami Vivekananda Pool → Turn right onto Gujari Rd"
Ahmedabad-Gandhinagar-Route-1-Gandhinagar - Ahmeda,Ahmedabad,Gandhinagar,Gandhinagar - Ahmedabad Rd,"Turn right toward Nehru Brg → Turn left onto Mahaveer Marg → Head north on Ashram Rd/<wbr/>Paldi Rd toward Sheth Mangaldas Rd/<wbr/>Swami Vivekananda Rd<div style=""font-size:0.9em"">Continue to follow Ashram Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Continue onto Nehru Brg → Continue onto Rustom Cama Marg"
Ahmedabad-Gandhinagar-Route-2-Gujarat State Highwa,Ahmedabad,Gandhinagar,Gujarat State Highway 71 and Gandhinagar - Ahmedabad Rd,"Turn right toward Nehru Brg → Turn left onto Mahaveer Marg → Head north on Ashram Rd/<wbr/>Paldi Rd toward Sheth Mangaldas Rd/<wbr/>Swami Vivekananda Rd<div style=""font-size:0.9em"">Continue to follow Ashram Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Continue onto Nehru Brg → Continue onto Rustom Cama Marg"
